Country Name,Country Code,Year,Value
Afghanistan,AFG,2006,25893450
Afghanistan,AFG,2016,34656032
Albania,ALB,2006,2992547
Albania,ALB,2016,2876101
Algeria,DZA,2006,33777915
Algeria,DZA,2016,40606052
American Samoa,ASM,2006,58650
American Samoa,ASM,2016,55599
Andorra,AND,2006,80991
Andorra,AND,2016,77281
Angola,AGO,2006,20262399
Angola,AGO,2016,28813463
Antigua and Barbuda,ATG,2006,90301
Antigua and Barbuda,ATG,2016,100963
Argentina,ARG,2006,39558890
Argentina,ARG,2016,43847430
Armenia,ARM,2006,2958500
Armenia,ARM,2016,2924816
Aruba,ABW,2006,100832
Aruba,ABW,2016,104822
Australia,AUS,2006,20697900
Australia,AUS,2016,24127159
Austria,AUT,2006,8268641
Austria,AUT,2016,8747358
Azerbaijan,AZE,2006,8484550
Azerbaijan,AZE,2016,9762274
"Bahamas, The",BHS,2006,335830
"Bahamas, The",BHS,2016,391232
Bahrain,BHR,2006,958414
Bahrain,BHR,2016,1425171
Bangladesh,BGD,2006,145368004
Bangladesh,BGD,2016,162951560
Barbados,BRB,2006,275039
Barbados,BRB,2016,284996
Belarus,BLR,2006,9604924
Belarus,BLR,2016,9507120
Belgium,BEL,2006,10547958
Belgium,BEL,2016,11348159
Belize,BLZ,2006,290747
Belize,BLZ,2016,366954
Benin,BEN,2006,8216896
Benin,BEN,2016,10872298
Bermuda,BMU,2006,64523
Bermuda,BMU,2016,65331
Bhutan,BTN,2006,672228
Bhutan,BTN,2016,797765
Bolivia,BOL,2006,9283334
Bolivia,BOL,2016,10887882
Bosnia and Herzegovina,BIH,2006,3779468
Bosnia and Herzegovina,BIH,2016,3516816
Botswana,BWA,2006,1884238
Botswana,BWA,2016,2250260
Brazil,BRA,2006,189012412
Brazil,BRA,2016,207652865
British Virgin Islands,VGB,2006,23905
British Virgin Islands,VGB,2016,30661
Brunei Darussalam,BRN,2006,370250
Brunei Darussalam,BRN,2016,423196
Bulgaria,BGR,2006,7601022
Bulgaria,BGR,2016,7127822
Burkina Faso,BFA,2006,13829177
Burkina Faso,BFA,2016,18646433
Burundi,BDI,2006,7675338
Burundi,BDI,2016,10524117
Cabo Verde,CPV,2006,480795
Cabo Verde,CPV,2016,539560
Cambodia,KHM,2006,13474489
Cambodia,KHM,2016,15762370
Cameroon,CMR,2006,17899562
Cameroon,CMR,2016,23439189
Canada,CAN,2006,32570505
Canada,CAN,2016,36286425
Cayman Islands,CYM,2006,50031
Cayman Islands,CYM,2016,60765
Central African Republic,CAF,2006,4201758
Central African Republic,CAF,2016,4594621
Chad,TCD,2006,10421597
Chad,TCD,2016,14452543
Channel Islands,CHI,2006,155411
Channel Islands,CHI,2016,164541
Chile,CHL,2006,16319792
Chile,CHL,2016,17909754
China,CHN,2006,1311020000
China,CHN,2016,1378665000
Colombia,COL,2006,43835722
Colombia,COL,2016,48653419
Comoros,COM,2006,626425
Comoros,COM,2016,795601
"Congo, Dem. Rep.",COD,2006,56543011
"Congo, Dem. Rep.",COD,2016,78736153
"Congo, Rep.",COG,2006,3842365
"Congo, Rep.",COG,2016,5125821
Costa Rica,CRI,2006,4308794
Costa Rica,CRI,2016,4857274
Cote d'Ivoire,CIV,2006,18699435
Cote d'Ivoire,CIV,2016,23695919
Croatia,HRV,2006,4440000
Croatia,HRV,2016,4170600
Cuba,CUB,2006,11296233
Cuba,CUB,2016,11475982
Curacao,CUW,2006,141239
Curacao,CUW,2016,159999
Cyprus,CYP,2006,1045509
Cyprus,CYP,2016,1170125
Czech Republic,CZE,2006,10238905
Czech Republic,CZE,2016,10561633
Denmark,DNK,2006,5437272
Denmark,DNK,2016,5731118
Djibouti,DJI,2006,796208
Djibouti,DJI,2016,942333
Dominica,DMA,2006,70807
Dominica,DMA,2016,73543
Dominican Republic,DOM,2006,9371338
Dominican Republic,DOM,2016,10648791
Ecuador,ECU,2006,13967480
Ecuador,ECU,2016,16385068
"Egypt, Arab Rep.",EGY,2006,78159048
"Egypt, Arab Rep.",EGY,2016,95688681
El Salvador,SLV,2006,6056478
El Salvador,SLV,2016,6344722
Equatorial Guinea,GNQ,2006,792217
Equatorial Guinea,GNQ,2016,1221490
Eritrea,ERI,2006,4066648
Estonia,EST,2006,1346810
Estonia,EST,2016,1316481
Ethiopia,ETH,2006,78850689
Ethiopia,ETH,2016,102403196
Faroe Islands,FRO,2006,48383
Faroe Islands,FRO,2016,49117
Fiji,FJI,2006,827411
Fiji,FJI,2016,898760
Finland,FIN,2006,5266268
Finland,FIN,2016,5495096
France,FRA,2006,63621376
France,FRA,2016,66896109
French Polynesia,PYF,2006,257832
French Polynesia,PYF,2016,280208
Gabon,GAB,2006,1444844
Gabon,GAB,2016,1979786
"Gambia, The",GMB,2006,1491021
"Gambia, The",GMB,2016,2038501
Georgia,GEO,2006,4136000
Georgia,GEO,2016,3719300
Germany,DEU,2006,82376451
Germany,DEU,2016,82667685
Ghana,GHA,2006,22113425
Ghana,GHA,2016,28206728
Gibraltar,GIB,2006,32296
Gibraltar,GIB,2016,34408
Greece,GRC,2006,11020362
Greece,GRC,2016,10746740
Greenland,GRL,2006,56774
Greenland,GRL,2016,56186
Grenada,GRD,2006,103259
Grenada,GRD,2016,107317
Guam,GUM,2006,158648
Guam,GUM,2016,162896
Guatemala,GTM,2006,13397008
Guatemala,GTM,2016,16582469
Guinea,GIN,2006,9881428
Guinea,GIN,2016,12395924
Guinea-Bissau,GNB,2006,1412669
Guinea-Bissau,GNB,2016,1815698
Guyana,GUY,2006,749601
Guyana,GUY,2016,773303
Haiti,HTI,2006,9409457
Haiti,HTI,2016,10847334
Honduras,HND,2006,7541406
Honduras,HND,2016,9112867
"Hong Kong SAR, China",HKG,2006,6857100
"Hong Kong SAR, China",HKG,2016,7346700
Hungary,HUN,2006,10071370
Hungary,HUN,2016,9817958
Iceland,ISL,2006,303782
Iceland,ISL,2016,334252
India,IND,2006,1161977719
India,IND,2016,1324171354
Indonesia,IDN,2006,229838202
Indonesia,IDN,2016,261115456
"Iran, Islamic Rep.",IRN,2006,71227880
"Iran, Islamic Rep.",IRN,2016,80277428
Iraq,IRQ,2006,27697912
Iraq,IRQ,2016,37202572
Ireland,IRL,2006,4273591
Ireland,IRL,2016,4773095
Isle of Man,IMN,2006,76914
Isle of Man,IMN,2016,83737
Israel,ISR,2006,7053700
Israel,ISR,2016,8547100
Italy,ITA,2006,58143979
Italy,ITA,2016,60600590
Jamaica,JAM,2006,2760279
Jamaica,JAM,2016,2881355
Japan,JPN,2006,127854000
Japan,JPN,2016,126994511
Jordan,JOR,2006,5934232
Jordan,JOR,2016,9455802
Kazakhstan,KAZ,2006,15308084
Kazakhstan,KAZ,2016,17797032
Kenya,KEN,2006,37052050
Kenya,KEN,2016,48461567
Kiribati,KIR,2006,94260
Kiribati,KIR,2016,114395
"Korea, Dem. People’s Rep.",PRK,2006,24061097
"Korea, Dem. People’s Rep.",PRK,2016,25368620
"Korea, Rep.",KOR,2006,48438292
"Korea, Rep.",KOR,2016,51245707
Kosovo,XKX,2006,1719536
Kosovo,XKX,2016,1816200
Kuwait,KWT,2006,2377258
Kuwait,KWT,2016,4052584
Kyrgyz Republic,KGZ,2006,5218400
Kyrgyz Republic,KGZ,2016,6082700
Lao PDR,LAO,2006,5849356
Lao PDR,LAO,2016,6758353
Latvia,LVA,2006,2218357
Latvia,LVA,2016,1960424
Lebanon,LBN,2006,4057350
Lebanon,LBN,2016,6006668
Lesotho,LSO,2006,1965662
Lesotho,LSO,2016,2203821
Liberia,LBR,2006,3375838
Liberia,LBR,2016,4613823
Libya,LBY,2006,5881435
Libya,LBY,2016,6293253
Liechtenstein,LIE,2006,35095
Liechtenstein,LIE,2016,37666
Lithuania,LTU,2006,3269909
Lithuania,LTU,2016,2872298
Luxembourg,LUX,2006,472637
Luxembourg,LUX,2016,582972
"Macao SAR, China",MAC,2006,493320
"Macao SAR, China",MAC,2016,612167
"Macedonia, FYR",MKD,2006,2063145
"Macedonia, FYR",MKD,2016,2081206
Madagascar,MDG,2006,18880268
Madagascar,MDG,2016,24894551
Malawi,MWI,2006,13429262
Malawi,MWI,2016,18091575
Malaysia,MYS,2006,26143566
Malaysia,MYS,2016,31187265
Maldives,MDV,2006,333000
Maldives,MDV,2016,417492
Mali,MLI,2006,13227064
Mali,MLI,2016,17994837
Malta,MLT,2006,405308
Malta,MLT,2016,436947
Marshall Islands,MHL,2006,52078
Marshall Islands,MHL,2016,53066
Mauritania,MRT,2006,3220653
Mauritania,MRT,2016,4301018
Mauritius,MUS,2006,1233996
Mauritius,MUS,2016,1263473
Mexico,MEX,2006,110092378
Mexico,MEX,2016,127540423
"Micronesia, Fed. Sts.",FSM,2006,105684
"Micronesia, Fed. Sts.",FSM,2016,104937
Moldova,MDA,2006,3585209
Moldova,MDA,2016,3552000
Monaco,MCO,2006,34408
Monaco,MCO,2016,38499
Mongolia,MNG,2006,2558012
Mongolia,MNG,2016,3027398
Montenegro,MNE,2006,615025
Montenegro,MNE,2016,622781
Morocco,MAR,2006,30869346
Morocco,MAR,2016,35276786
Mozambique,MOZ,2006,21547463
Mozambique,MOZ,2016,28829476
Myanmar,MMR,2006,48846474
Myanmar,MMR,2016,52885223
Namibia,NAM,2006,2055734
Namibia,NAM,2016,2479713
Nauru,NRU,2006,10101
Nauru,NRU,2016,13049
Nepal,NPL,2006,25940618
Nepal,NPL,2016,28982771
Netherlands,NLD,2006,16346101
Netherlands,NLD,2016,17018408
New Caledonia,NCL,2006,235000
New Caledonia,NCL,2016,278000
New Zealand,NZL,2006,4184600
New Zealand,NZL,2016,4692700
Nicaragua,NIC,2006,5450211
Nicaragua,NIC,2016,6149928
Niger,NER,2006,14132064
Niger,NER,2016,20672987
Nigeria,NGA,2006,142614094
Nigeria,NGA,2016,185989640
Northern Mariana Islands,MNP,2006,61688
Northern Mariana Islands,MNP,2016,55023
Norway,NOR,2006,4660677
Norway,NOR,2016,5232929
Oman,OMN,2006,2582991
Oman,OMN,2016,4424762
Pakistan,PAK,2006,157093993
Pakistan,PAK,2016,193203476
Palau,PLW,2006,20012
Palau,PLW,2016,21503
Panama,PAN,2006,3391905
Panama,PAN,2016,4034119
Papua New Guinea,PNG,2006,6470272
Papua New Guinea,PNG,2016,8084991
Paraguay,PRY,2006,5882796
Paraguay,PRY,2016,6725308
Peru,PER,2006,27949944
Peru,PER,2016,31773839
Philippines,PHL,2006,87809419
Philippines,PHL,2016,103320222
Poland,POL,2006,38141267
Poland,POL,2016,37948016
Portugal,PRT,2006,10522288
Portugal,PRT,2016,10324611
Puerto Rico,PRI,2006,3805214
Puerto Rico,PRI,2016,3411307
Qatar,QAT,2006,1010382
Qatar,QAT,2016,2569804
Romania,ROU,2006,21193760
Romania,ROU,2016,19705301
Russian Federation,RUS,2006,143049528
Russian Federation,RUS,2016,144342396
Rwanda,RWA,2006,9206580
Rwanda,RWA,2016,11917508
Samoa,WSM,2006,181094
Samoa,WSM,2016,195125
San Marino,SMR,2006,29614
San Marino,SMR,2016,33203
Sao Tome and Principe,STP,2006,159328
Sao Tome and Principe,STP,2016,199910
Saudi Arabia,SAU,2006,24578301
Saudi Arabia,SAU,2016,32275687
Senegal,SEN,2006,11556763
Senegal,SEN,2016,15411614
Serbia,SRB,2006,7411569
Serbia,SRB,2016,7057412
Seychelles,SYC,2006,84600
Seychelles,SYC,2016,94677
Sierra Leone,SLE,2006,5848692
Sierra Leone,SLE,2016,7396190
Singapore,SGP,2006,4401365
Singapore,SGP,2016,5607283
Sint Maarten (Dutch part),SXM,2006,38270
Sint Maarten (Dutch part),SXM,2016,40005
Slovak Republic,SVK,2006,5373054
Slovak Republic,SVK,2016,5428704
Slovenia,SVN,2006,2006868
Slovenia,SVN,2016,2064845
Solomon Islands,SLB,2006,481422
Solomon Islands,SLB,2016,599419
Somalia,SOM,2006,10718317
Somalia,SOM,2016,14317996
South Africa,ZAF,2006,48233804.4849866
South Africa,ZAF,2016,55908865
South Sudan,SSD,2006,8468152
South Sudan,SSD,2016,12230730
Spain,ESP,2006,44397319
Spain,ESP,2016,46443959
Sri Lanka,LKA,2006,19520000
Sri Lanka,LKA,2016,21203000
St. Kitts and Nevis,KNA,2006,49210
St. Kitts and Nevis,KNA,2016,54821
St. Lucia,LCA,2006,165407
St. Lucia,LCA,2016,178015
St. Martin (French part),MAF,2006,28414
St. Martin (French part),MAF,2016,31949
St. Vincent and the Grenadines,VCT,2006,108907
St. Vincent and the Grenadines,VCT,2016,109643
Sudan,SDN,2006,31607064
Sudan,SDN,2016,39578828
Suriname,SUR,2006,504307
Suriname,SUR,2016,558368
Swaziland,SWZ,2006,1120514
Swaziland,SWZ,2016,1343098
Sweden,SWE,2006,9080505
Sweden,SWE,2016,9903122
Switzerland,CHE,2006,7483934
Switzerland,CHE,2016,8372098
Syrian Arab Republic,SYR,2006,18914977
Syrian Arab Republic,SYR,2016,18430453
Tajikistan,TJK,2006,7000557
Tajikistan,TJK,2016,8734951
Tanzania,TZA,2006,40634948
Tanzania,TZA,2016,55572201
Thailand,THA,2006,65824164
Thailand,THA,2016,68863514
Timor-Leste,TLS,2006,1048621
Timor-Leste,TLS,2016,1268671
Togo,TGO,2006,5837792
Togo,TGO,2016,7606374
Tonga,TON,2006,101689
Tonga,TON,2016,107122
Trinidad and Tobago,TTO,2006,1303144
Trinidad and Tobago,TTO,2016,1364962
Tunisia,TUN,2006,10196136
Tunisia,TUN,2016,11403248
Turkey,TUR,2006,68763405
Turkey,TUR,2016,79512426
Turkmenistan,TKM,2006,4810105
Turkmenistan,TKM,2016,5662544
Turks and Caicos Islands,TCA,2006,27642
Turks and Caicos Islands,TCA,2016,34900
Tuvalu,TUV,2006,10137
Tuvalu,TUV,2016,11097
Uganda,UGA,2006,29550662
Uganda,UGA,2016,41487965
Ukraine,UKR,2006,46787750
Ukraine,UKR,2016,45004645
United Arab Emirates,ARE,2006,5242032
United Arab Emirates,ARE,2016,9269612
United Kingdom,GBR,2006,60846820
United Kingdom,GBR,2016,65637239
United States,USA,2006,298379912
United States,USA,2016,323127513
Uruguay,URY,2006,3331043
Uruguay,URY,2016,3444006
Uzbekistan,UZB,2006,26488250
Uzbekistan,UZB,2016,31848200
Vanuatu,VUT,2006,214634
Vanuatu,VUT,2016,270402
"Venezuela, RB",VEN,2006,27239168
"Venezuela, RB",VEN,2016,31568179
Vietnam,VNM,2006,83311200
Vietnam,VNM,2016,92701100
Virgin Islands (U.S.),VIR,2006,107700
Virgin Islands (U.S.),VIR,2016,102951
West Bank and Gaza,PSE,2006,3406334
West Bank and Gaza,PSE,2016,4551566
"Yemen, Rep.",YEM,2006,21160534
"Yemen, Rep.",YEM,2016,27584213
Zambia,ZMB,2006,12383446
Zambia,ZMB,2016,16591390
Zimbabwe,ZWE,2006,13124267
Zimbabwe,ZWE,2016,16150362
